"Region","Brewery","Tour name","URL","Location","Price (£pp)","Notes"
"London","Camden Town Brewery","Camden Town Brewery Tour","https://camdentownbrewery.com/pages/visit-us","Kentish Town, London (Greater London)","25","~1h15m tour of the brewhouse; half-pint welcome beer, tasting flight of 5 and a free pint. Sun-Fri, year-round. Booking via FareHarbor embedded on their own site."
"London","The Five Points Brewing Company","Brewery Tour & Tasting","https://fivepointsbrewing.co.uk/pages/brewery-tours","Hackney, London E8 (Greater London)","20","~90 min guided tour of the brewhouse and packaging lines + 4x 1/3-pint samples; 18+, closed-toe shoes. Tour info on own site; ticket checkout handled via DesignMyNight."
"London","Orbit Beers","Brewery Tours","https://orbitbeers.com/pages/brewery-tours","Walworth, London SE17 (Greater London)","20","Guided tour of the railway-arch brewery + tasting flight of 3 beers (core, White Label, barrel-aged) in the taproom. Scheduled Wed/Thu 6pm and Sat 2pm; 18+."
"London","Brixton Brewery","Brewery Tour & Tasting","https://brixtonbrewery.com/pages/brewerytour","Brixton, London SW9 (Greater London)","15","Guided tour with a brewer + tutored tasting, up to 1 hour. Every Saturday 12pm (some Fridays too); 18+, closed-toe flat shoes. Gift vouchers available on site."
"London","Twickenham Fine Ales","Brewery Tour","https://www.twickenham-fine-ales.co.uk/tour","Twickenham, Greater London","","Public monthly tour (typically 2nd Wednesday, 7-9pm): brewing-process talk, ingredients, 3 pints and a take-home glass. Limited spaces, book via website. (Page is JavaScript-rendered so content didn't fetch as text.)"
"London","Guinness Open Gate Brewery London","The Open Gate Experience","https://opengatelondon.guinness.com/en/tours/open-gate-experience-tour","Covent Garden, London WC2 (Greater London)","30","90-min guided tour of the working craft brewery with an immersive Guinness heritage experience; tasting of 4 curated craft beers in the Brewer's Room plus pour-your-own pint. From £30 off-peak up to ~£50 peak; open 7 days/week. Book online (Diageo's own site)."
"London","Mondo Brewing Company","Brewery Tour","https://mondobeer.com/faqs/","Battersea, London SW8 (Greater London)","20","Guided tour of the 20HL brewhouse (malt store to bottling line) + 3x 1/3-pint tasting flight in Mondo Tap. £20. Set-date tickets sold via their own web shop (shop.mondobeer.com) when dates are released; private tours also available."
"South East England","Harvey's Brewery","Harvey's Brewery Tour","https://www.harveys.org.uk/brewery-tours","Lewes, East Sussex","18","90-min guided tour led by a brewing team member, Mon-Thu on scheduled dates through the season; informal beer tasting included; 18+, several staircases (not step-free)."
"South East England","Shepherd Neame","Brewery Tour & Tutored Tasting","https://www.shepherdneame.co.uk/visitor-centre/brewery-tours/book","Faversham, Kent","25","Britain's oldest brewer. 80-min guided tour Wed-Sat (morning/afternoon slots), Old Brewery Store displays + tutored tasting of Kentish ales; 18+. Books online via own site."
"South East England","Hogs Back Brewery","Surrey's Most Famous Brewery Tours","https://hogsback.co.uk/pages/surrey-brewery-tours","Tongham, Farnham, Surrey","23","~1.5 hrs, Thu-Sun. Visits Hogs Back + solar-powered One Planet Brewing, generous sampling, souvenir tasting glass to keep; adults only."
"South East England","Long Man Brewery","Brewery Tour & Tasting","https://www.longmanbrewery.com/tour-tasting/","Litlington (nr Alfriston), East Sussex","30","Flint-walled farm brewery in the South Downs. Grain-to-glass guided walk + tasting with in-store discount; pre-book online, max 10 per tour."
"South East England","Westerham Brewery","Tour & Tasting","https://westerhambrewery.co.uk/visit/tour-and-tasting","Westerham, Kent","","Weekly Saturday mornings, max 18. Beer samples plus a 10% off voucher; 18+. Booked in advance on own site (page blocks automated fetch but is live and on own domain)."
"South East England","Bedlam Brewery","Brewery Tour","https://bedlambrewery.co.uk/product/ticket-to-tour-brewery/","Plumpton Green (nr Lewes), East Sussex","20","Solar-powered farm brewery at the foot of the South Downs. Ticket bookable on own site; gift vouchers also sold (site uses old TLS so automated fetch failed, but page/domain confirmed)."
"South East England","Hepworth Brewery","Brewery Tours (Standard & Advanced)","https://www.hepworthbrewery.co.uk/brewery-tours/","Pulborough, West Sussex","20","Sustainability-focused brewery. Standard £20 (tour + taproom tasting); Advanced £27.95 adds extended tasting and a 6-beer take-home gift bag. Tours ~first Saturday of month; 18+."
"South East England","Vibrant Forest Brewery","Brewery Tour and Tasting Session","https://vibrantforest.co.uk/brewery-tours/","Hythe (edge of the New Forest), Hampshire","20","Last Saturday of each month (extra dates by arrangement), 1-1.5 hrs. Guided brewing walkthrough + tasting; unfiltered/vegan beers; 18+. Books on own site."
"South East England","Gadds' / The Ramsgate Brewery","Brewery Tour","https://www.ramsgatebrewery.co.uk/online-store/GADDS-Taproom-Tickets-&-Brewery-Tours-c129926505","Broadstairs, Kent","","Tours ~first Saturday of the month led by head brewer Eddie Gadd, followed by a tasting in the taproom. Dated tickets sold through the brewery's own online store (seasonal availability)."
"South East England","Surrey Hills Brewery","Brewery Tours","https://surreyhills.co.uk/pages/brewery-tours","Dorking (Denbies Wine Estate), Surrey","15","~90 min on select Saturdays (12pm & 2:30pm), plenty of beer to compare. Public scheduled tour; booked via the on-site form / phone / email (own website), often sells out."
"South East England","Triple fff Brewery","Brewery Tours","https://triplefff.com/products/brewery-tours","Four Marks (nr Alton), Hampshire","20","Selected Saturdays 1:30-3pm, led by founder/head brewer. Includes 3x 1/3-pint samples in the Offf The Rails taproom; min 8 guests. Books on own site."
"South East England","Andwell Brewery","Brewery Tour (90 mins)","https://www.andwells.com/brewery-tour/","Hook, Hampshire","7.50","Scheduled Mon-Fri and Saturday tours (Sat 1:15pm start), max 20. Includes a free branded pint glass and 10% shop voucher. Books on own site (age-gated to automated fetch but confirmed live)."
"South East England","Powder Monkey Brewing","Brewery Tour","https://powdermonkeybrewing.com/collections/book-your-tour","Gosport, Hampshire","30","Set in a historic naval gunpowder store at Priddy's Hard. Twice-monthly, 1pm start, max 25; Option 1 £30, Option 2 £65. Beer sampling included; booked via own site (confirm date by phone/email)."
"South East England","Gun Brewery","Brewery Tour and Tastings","https://www.gunbrewery.co.uk/tours-main","Gun Hill (nr Heathfield), East Sussex","20","Eco-conscious Weald brewery. Saturday lunchtime, ~1 hr, covers brewhouse/canning line + guided tasting; 'Book Now' on own site, taproom & street food afterwards."
"South West England","St Austell Brewery","Book a Tour (Sampling Sessions / Brewery Experience)","https://staustellbrewery.co.uk/beers-brewery/book-a-tour","St Austell, Cornwall","","Two tours: Sampling Sessions and Brewery Experience. Run twice daily, six days a week; blends Victorian history + working brewery, interactive museum and tasting at Hicks Bar. Advance booking recommended (widget or phone). Price not shown on page."
"South West England","Sharp's Brewery","Experiences / Immersive Tastings","https://www.sharpsbrewery.co.uk/blogs/discover-sharps/experiences","Rock, Cornwall","","Beer-sommelier-led immersive tastings in a sensory room plus beer flights (cask/lager/craft/cider/zero). Booked via the experience team by phone (01208 862121), groups up to 8. Tastings/experience only rather than a production walk-through."
"South West England","Padstow Brewing Company","Brewery Tour","https://www.padstowbrewing.co.uk/visit/brewery-tours/","Padstow, Cornwall","25","~90-min guided tour of the brewing process with tastings and same-day discount at brewery/tasting rooms. Over-18s. Runs roughly every other Thursday Easter–Oct. Book Now online."
"South West England","Salcombe Brewery Co.","Brewery Tours","https://salcombebrewery.com/product/brewery-tours/","Kingsbridge (nr Salcombe), Devon","20","~90 min: welcome drink, brewhouse tour with a brewer, flight of Salcombe beers, Q&A. Weekly afternoon tours Apr–Oct. Max 6 tickets per online booking; larger groups by phone."
"South West England","Otter Brewery","Evening Tour","https://otterbrewery.com/product/evening-tour/","Luppitt, Honiton, Devon","34","Weekday evening tour with plentiful tastings, brewery education and hot food (main, pudding, cheese). Group-based: minimum 15 people (cancelled/refunded if under). Bookable online."
"South West England","Hanlons Brewery","Brewery Tours","https://www.hanlonsbrewery.com/pages/brewery-tours","Half Moon Village (nr Exeter), Devon","30","Monthly Thursday evenings 7–10pm. Guided tour with a brewer, trio of sliders + fries, beer tastings and 10% off shop that night. Booked via dated Eventbrite listings on the page."
"South West England","Butcombe Brewing Co.","Brewery Tours","https://butcombebrewery.co.uk/pages/brewery-tours","Butcombe (nr Wrington), Somerset","15","Monthly, ~2 hrs from 10am. Welcome drink, a pint of choice and a selection of tastings. £15 tour only or £30 including fish-and-chip lunch at The Langford. Max 20, staggered groups of 10. Bookable online."
"South West England","Cheddar Ales","Brewery Tour","https://www.cheddarales.co.uk/get-involved/s/","Cheddar, Somerset","","Scheduled Saturday brewery tours booked online via the site's events/tickets listings. Includes the tour plus 4 beer tokens in the tap room and 10% off for the rest of the day. Price not shown on the listing page."
"South West England","Wadworth","Tours and Experiences (Brewery Tour / Historic Pub Tour)","https://www.wadworth.co.uk/tours-and-experiences","Devizes, Wiltshire","","Folly Road brewhouse tours with tastings (Fri 2pm & 4pm, Sat 11:30am & 1pm). Also a 2.5-hr Historic Pub Tour of Devizes on Saturdays at £30 (samples + meal at The Bear). Book via brewery/BreweryTap@wadworth.co.uk."
"South West England","Arkell's Brewery","Brewery Tour","https://www.arkells.com/tour","Swindon, Wiltshire","15","Family-run Victorian tower brewery (est. 1843). Weekly tours including a tasting and a souvenir bottle of beer; bookable online. (Page confirmed live via search; direct fetch blocked by a TLS/cert issue on our side.)"
"South West England","Ramsbury Brewing & Distilling Co.","Brewery & Distillery Tour","https://ramsbury.com/experiences/brewery-distillery-tour/","Aldbourne (nr Marlborough), Wiltshire","","~90-min combined brewery and gin/vodka distillery tour with generous tastings. Fri & Sat 1pm plus a 6:30pm session on the last Friday of the month. Booking essential, via the website. (Page sits behind an 18+ age gate.)"
"South West England","Stroud Brewery","Brewery Tour","https://gifts.stroudbrewery.com/shop/brewery-tour","Thrupp, Stroud, Gloucestershire","","UK's first organic & B-Corp brewery. ~1.5-hr tour on the 2nd Thursday of every month, led by a brewer, with beer sampling. Bookable on own site (also gift cards / Ticket Tailor). Price shown after selecting options."
"South West England","Gloucester Brewery","Brewery Tour & Beer Tasting","https://www.gloucesterbrewery.co.uk/pages/all-events","Gloucester Docks, Gloucestershire","","Public tours twice a month (2nd and last Thursday). Starts with a beer in the taproom (Warehouse 4) then a guided walk through the on-site brewery with the brewing team. Book via events page / phone."
"South West England","Bath Ales (Hare Brewery)","Brewery Tour","https://bathales.com/shop/bath-ales-brewery-tour-voucher-for-1/","Warmley, South Gloucestershire (nr Bristol/Bath)","15","Guided Hare Brewery tour with sampling session and two half pints in the taproom, first Saturday of the month. Sold as vouchers (valid 1 year) on own site; currently showing out of stock at time of check."
"South West England","Bristol Beer Factory","BBF Brewery Tour","https://www.bristolbeerfactory.co.uk/products/brewery-tour","Ashton Vale, Bristol","25","Public tours every Saturday at 2pm (~2 hrs). Includes 3 fresh pints during the tour plus 1 free pint and 10% off at the North Street Tap Room. Book online by selecting a date."
"South West England","Wiper and True","Brewery Tours","https://wiperandtrue.com/products/brewery-tours","Old Market / Easton, Bristol","20","~1-hr tour through taproom into the brewery, ending with a fresh pint. Alternate Fridays 6:30pm and Saturdays 2pm. Own-site listing; tickets issued via Eventbrite (plus booking fee)."
"South West England","Left Handed Giant","LHG Brewpub Brewery Tour","https://lefthandedgiant.com/collections/brewery-tours-and-events","Bristol (St Philips / Finzels Reach Brewpub)","17.50","~30-min tour plus ~30-min guided tasting; monthly dated tours listed on own site (Brewpub and St Philips), small groups (~10–12). Gift cards also available. Book online."
"South West England","Good Chemistry Brewing","Bristol Brewery Tour","https://goodchemistrybrewing.co.uk/pages/brewery-tours","St Philips, Bristol","","Guided tour of the working brewery with tastings and behind-the-scenes insight, then time in the taproom. Arranged via the enquiry form / phone rather than instant online checkout."
"South West England","Palmers Brewery","Brewery Tours","https://palmersbrewery.com/brewery-tours/","Bridport, Dorset","","The UK's only thatched brewery (est. 1794). ~2-hr guided tour through the multi-floor brewhouse ending with a tasting at Palmers Wine Store. Daily 11am & 2pm, Mon–Fri. Book online (FareHarbor) or by phone; over-12s welcome."
"South West England","Hall & Woodhouse (Badger Ales)","Brewery Tour / Brewery Experience","https://www.badgerbeers.com/our-brewery/brewery-tours/","Blandford St Mary, Dorset","17","Brewing since 1777. Brewery Tour (£17): 90+ min tour of Victorian maltings + modern brewery with a flight of beers. Brewery Experience (£25): adds an expert tasting (18+). Mon/Tue/Thu/Fri plus Sat; max 20. Book online via badgerbeers.com."
